# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,STEP 250 C
# started_at_epoch,1789071625
# started_at_local,2026-09-10 13:20:25 PDT
# entered_at_s,0.0
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,0.0,run_started,profile=STEP 250 C
403.4,155.11,167.375,0,43.19,33.64
404.6,154.66,167.063,0,43.25,33.86
405.9,154.21,166.500,0,43.31,33.22
407.2,153.75,166.188,0,43.38,33.65
408.2,153.38,165.688,0,43.38,34.28
409.4,152.94,165.313,0,43.44,33.65
410.4,152.58,165.000,0,43.50,33.65
411.6,152.13,164.438,0,43.50,33.65
412.9,151.68,164.063,0,43.63,33.64
413.9,151.32,163.688,0,43.63,34.29
414.9,150.95,163.375,0,43.69,33.22
416.1,150.50,163.000,0,43.69,34.29
417.1,150.14,162.563,0,43.75,33.44
418.4,149.68,162.250,0,43.81,33.65
419.6,149.23,161.813,0,43.81,34.07
420.6,148.87,161.438,0,43.88,33.86
421.6,148.51,161.188,0,43.94,34.50
422.6,148.14,160.875,0,44.00,33.65
423.9,147.70,160.500,0,44.06,34.29
424.9,147.33,160.125,0,44.06,33.86
426.1,146.88,159.750,0,44.13,34.08
427.4,146.47,159.313,0,44.19,34.29
428.6,146.10,158.813,0,44.19,33.87
429.9,145.73,158.563,0,44.25,33.86
430.9,145.43,158.250,0,44.31,34.29
432.1,145.06,157.750,0,44.38,33.86
433.1,144.75,157.438,0,44.38,34.08
434.4,144.39,157.000,0,44.44,33.86
435.6,144.01,156.625,0,44.50,33.87
436.9,143.64,156.188,0,44.56,34.07
438.1,143.27,155.813,0,44.56,33.86
439.1,142.96,155.500,0,44.63,33.65
440.4,142.60,155.125,0,44.63,33.86
441.6,142.23,154.875,0,44.75,34.08
442.9,141.85,154.375,0,44.75,34.07
444.1,141.48,154.000,0,44.81,33.43
445.4,141.11,153.625,0,44.88,33.64
446.6,140.73,153.375,0,44.88,33.43
447.6,140.44,153.000,0,44.94,34.29
448.6,140.14,152.688,0,45.00,33.86
449.6,139.84,152.375,0,45.00,33.65
450.7,139.53,152.000,0,45.00,33.22
451.9,139.17,151.688,0,45.06,34.29
453.1,138.79,151.375,0,45.06,33.86
454.1,138.49,151.063,0,45.13,33.86
455.4,138.12,150.625,0,45.13,34.08
456.6,137.75,150.250,0,45.19,33.86
457.9,137.38,149.875,0,45.25,33.65
458.9,137.08,149.625,0,45.25,34.07
459.9,136.77,149.375,0,45.31,34.50
460.9,136.47,149.063,0,45.31,34.07
462.1,136.11,148.688,0,45.38,34.29
463.2,135.82,148.313,0,45.31,34.29
464.4,135.51,148.125,0,45.44,34.08
465.6,135.20,147.750,0,45.44,34.07
466.7,134.93,147.438,0,45.50,33.65
467.9,134.63,147.125,0,45.56,34.29
468.9,134.38,146.813,0,45.56,34.07
470.1,134.07,146.563,0,45.56,33.86
