import gc; gc.collect()
>>> import heat_step_test as hst
>>> hst.main(hst.IDENTIFY_60_TO_240, confirm=hst.CONFIRM)
# heat step test, 41 steps, 7500 s planned
# t,state,temp_c,target_c,duty,relay,cold_c,cpu_c
# step climb to 60C: duty 1.000, ceiling 36 C, 600 s
856.98,steptest,47.1875,,0.043,0,27.69,33.65
857.23,steptest,47.2500,,0.043,0,27.69,33.43
857.48,steptest,47.3750,,0.043,0,27.69,33.44
857.73,steptest,47.3750,,0.043,0,27.69,33.44
857.98,steptest,47.3750,,0.043,0,27.69,33.44
858.23,steptest,47.4375,,0.043,0,27.69,33.01
858.48,steptest,47.5000,,0.043,0,27.69,33.00
858.73,steptest,47.5000,,0.043,0,27.69,33.22
858.98,steptest,47.5000,,0.043,0,27.69,33.65
859.23,steptest,47.5625,,0.043,0,27.69,33.43
859.48,steptest,47.6250,,0.043,0,27.69,33.22
859.73,steptest,47.6250,,0.043,0,27.69,34.29
859.98,steptest,47.6250,,0.043,0,27.69,33.43
860.23,steptest,47.7500,,0.043,0,27.69,33.01
860.48,steptest,47.8125,,0.043,0,27.69,33.01
860.73,steptest,47.8125,,0.043,0,27.69,33.22
860.98,steptest,47.8125,,0.043,0,27.69,33.01
861.23,steptest,47.8750,,0.043,0,27.69,33.44
861.48,steptest,47.8750,,0.043,0,27.69,32.79
861.73,steptest,47.9375,,0.043,0,27.69,33.22
861.98,steptest,48.0000,,0.043,0,27.69,32.80
862.23,steptest,48.0000,,0.043,0,27.69,33.22
862.48,steptest,48.0000,,0.043,0,27.69,33.22
862.73,steptest,48.0625,,0.043,0,27.69,33.01
862.98,steptest,48.1250,,0.043,0,27.69,33.00
863.23,steptest,48.1250,,0.043,0,27.69,33.22
863.48,steptest,48.1250,,0.043,0,27.69,33.01
863.73,steptest,48.1875,,0.043,0,27.69,33.23
863.98,steptest,48.1875,,0.043,0,27.69,33.01
864.23,steptest,48.1875,,0.043,0,27.69,32.79
864.48,steptest,48.2500,,0.043,0,27.69,33.22
864.73,steptest,48.2500,,0.043,0,27.69,33.22
864.98,steptest,48.3750,,0.043,0,27.69,33.00
865.23,steptest,48.3750,,0.043,0,27.69,33.01
865.48,steptest,48.3750,,0.043,0,27.69,33.44
865.73,steptest,48.3750,,0.043,0,27.69,32.79
865.98,steptest,48.4375,,0.043,0,27.69,33.22
866.23,steptest,48.4375,,0.043,0,27.69,33.00
866.48,steptest,48.4375,,0.043,0,27.69,33.01
866.73,steptest,48.5000,,0.043,0,27.63,33.22
866.98,steptest,48.5625,,0.043,0,27.69,33.22
867.23,steptest,48.5000,,0.043,0,27.63,33.22
867.48,steptest,48.5000,,0.043,0,27.69,32.58
867.73,steptest,48.5625,,0.043,0,27.69,32.79
867.98,steptest,48.5625,,0.043,0,27.63,32.58
868.23,steptest,48.6250,,0.043,0,27.63,33.00
868.48,steptest,48.6875,,0.043,0,27.69,33.65
868.73,steptest,48.6875,,0.043,0,27.69,33.01
868.98,steptest,48.7500,,0.043,0,27.69,33.65
869.23,steptest,48.8125,,0.043,0,27.69,33.43
869.48,steptest,48.8125,,0.043,0,27.69,33.43
869.73,steptest,48.8125,,0.043,0,27.69,32.58
869.98,steptest,48.8125,,0.043,0,27.69,33.22
870.23,steptest,48.8125,,0.043,0,27.69,33.01
870.48,steptest,48.8750,,0.043,0,27.69,32.80
870.73,steptest,48.8750,,0.043,0,27.63,33.43
870.98,steptest,48.8750,,0.043,0,27.63,32.79
871.23,steptest,48.8750,,0.043,0,27.63,32.58
871.48,steptest,49.0000,,0.043,0,27.69,33.01
871.73,steptest,48.9375,,0.043,0,27.63,33.43
871.98,steptest,48.9375,,0.043,0,27.63,33.01
872.23,steptest,48.9375,,0.043,0,27.63,33.22
872.48,steptest,48.9375,,0.043,0,27.63,33.43
872.73,steptest,49.0625,,0.043,0,27.69,32.79
872.98,steptest,49.0625,,0.043,0,27.69,32.79
873.23,steptest,49.0625,,0.043,0,27.63,32.79
873.48,steptest,49.1250,,0.043,0,27.69,32.36
873.73,steptest,49.1250,,0.043,0,27.63,33.01
873.98,steptest,49.1250,,0.043,0,27.63,33.22
874.23,steptest,49.1250,,0.043,0,27.63,33.00
874.48,steptest,49.1250,,0.043,0,27.63,33.00
874.73,steptest,49.1250,,0.043,0,27.63,32.79
874.98,steptest,49.1875,,0.043,0,27.63,33.22
875.23,steptest,49.1875,,0.043,0,27.63,33.43
875.48,steptest,49.1875,,0.043,0,27.63,33.65
875.73,steptest,49.1875,,0.043,0,27.63,32.58
875.98,steptest,49.2500,,0.043,0,27.63,33.21
876.23,steptest,49.2500,,0.043,0,27.63,33.01
876.48,steptest,49.3750,,0.043,0,27.69,32.79
876.73,steptest,49.3125,,0.043,0,27.63,33.01
876.98,steptest,49.3125,,0.043,0,27.63,33.01
877.23,steptest,49.3125,,0.043,0,27.63,33.00
877.48,steptest,49.3125,,0.043,0,27.63,32.79
877.73,steptest,49.3750,,0.043,0,27.69,32.36
877.98,steptest,49.3750,,0.043,0,27.69,33.00
878.23,steptest,49.3750,,0.043,0,27.63,33.00
878.48,steptest,49.3750,,0.043,0,27.63,33.01
878.73,steptest,49.3750,,0.043,0,27.63,33.01
878.98,steptest,49.4375,,0.043,0,27.63,33.65
879.23,steptest,49.4375,,0.043,0,27.63,33.43
879.48,steptest,49.4375,,0.043,0,27.63,33.22
879.73,steptest,49.4375,,0.043,0,27.63,32.37
879.98,steptest,49.5000,,0.043,0,27.63,33.01
880.23,steptest,49.5625,,0.043,0,27.69,32.79
880.48,steptest,49.5625,,0.043,0,27.63,33.44
880.73,steptest,49.5000,,0.043,0,27.63,33.65
880.98,steptest,49.5000,,0.043,0,27.63,33.01
881.23,steptest,49.5000,,0.043,0,27.63,32.58
881.48,steptest,49.5625,,0.043,0,27.63,33.00
881.73,steptest,49.5625,,0.043,0,27.63,33.43
881.98,steptest,49.6250,,0.043,0,27.69,33.44
882.23,steptest,49.6250,,0.043,0,27.63,33.43
882.48,steptest,49.6875,,0.043,0,27.69,32.57
882.73,steptest,49.6875,,0.043,0,27.69,33.01
882.98,steptest,49.6250,,0.043,0,27.63,32.36
883.23,steptest,49.6875,,0.043,0,27.63,32.80
883.48,steptest,49.6875,,0.043,0,27.63,33.22
883.73,steptest,49.6875,,0.043,0,27.63,33.43
883.98,steptest,49.6875,,0.043,0,27.63,33.44
884.23,steptest,49.6875,,0.043,0,27.63,33.01
884.48,steptest,49.6875,,0.043,0,27.63,32.79
884.73,steptest,49.6875,,0.043,0,27.63,32.79
884.98,steptest,49.6875,,0.043,0,27.63,33.01
885.23,steptest,49.7500,,0.043,0,27.69,32.79
885.48,steptest,49.7500,,0.043,0,27.63,33.43
885.73,steptest,49.8125,,0.043,0,27.69,33.00
885.98,steptest,49.8125,,0.043,0,27.63,32.79
886.23,steptest,49.7500,,0.043,0,27.63,32.79
886.48,steptest,49.7500,,0.043,0,27.63,32.58
886.73,steptest,49.7500,,0.043,0,27.63,33.00
886.98,steptest,49.8125,,0.043,0,27.63,33.00
887.23,steptest,49.8125,,0.043,0,27.63,32.79
887.48,steptest,49.8750,,0.043,0,27.69,33.22
887.73,steptest,49.8750,,0.043,0,27.69,33.00
887.98,steptest,49.9375,,0.043,0,27.69,32.79
888.23,steptest,49.9375,,0.043,0,27.69,33.43
888.48,steptest,49.9375,,0.043,0,27.69,33.00
888.73,steptest,49.8750,,0.043,0,27.63,33.00
888.98,steptest,49.9375,,0.043,0,27.69,32.79
889.23,steptest,49.9375,,0.043,0,27.69,33.22
889.48,steptest,49.9375,,0.043,0,27.69,33.22
889.73,steptest,49.9375,,0.043,0,27.69,33.21
889.98,steptest,49.9375,,0.043,0,27.69,33.22
